frame,id,x,y
174,1,1217,611
175,1,1217,611
230,2,1625,682
231,2,1624,682
232,2,1623,682
233,2,1622,681
234,2,1621,680
235,2,1620,679
236,2,1619,679
237,2,1618,679
238,2,1616,679
239,2,1615,679
240,2,1615,679
241,2,1614,679
242,2,1614,679
243,2,1613,680
244,2,1613,680
245,2,1612,680
246,2,1611,680
247,2,1610,680
248,2,1610,679
249,2,1609,679
250,2,1609,678
251,2,1608,677
252,2,1607,677
253,2,1606,677
254,2,1606,676
255,2,1605,675
256,2,1604,674
257,2,1604,674
258,2,1603,674
259,2,1602,673
260,2,1602,673
261,2,1602,672
262,2,1601,672
263,2,1601,672
264,2,1600,671
265,2,1599,671
266,2,1599,670
267,2,1598,670
268,2,1597,670
269,2,1597,669
270,2,1596,669
271,2,1596,669
273,2,1595,668
274,2,1595,667
275,2,1595,667
276,2,1594,667
277,2,1594,667
278,2,1594,666
279,2,1593,666
295,2,1590,664
296,2,1589,664
297,2,1588,663
298,2,1588,663
299,2,1588,663
300,2,1588,663
301,2,1588,663
302,2,1587,663
303,2,1587,663
304,2,1587,663
305,2,1587,662
306,2,1586,662
307,2,1586,661
308,2,1586,661
309,2,1585,662
310,2,1585,662
311,2,1585,663
312,2,1585,663
313,2,1585,663
314,2,1585,662
315,2,1585,662
316,2,1585,661
317,2,1586,661
318,2,1586,661
319,2,1586,661
320,2,1586,661
321,2,1586,661
322,2,1586,662
323,2,1586,662
324,2,1586,663
325,2,1586,663
326,2,1587,663
327,2,1587,663
328,2,1588,663
329,2,1588,663
330,2,1588,663
331,2,1589,663
332,2,1589,664
333,2,1589,664
334,2,1589,664
335,2,1590,664
336,2,1590,664
337,2,1590,664
338,2,1591,663
339,2,1591,663
340,2,1591,662
341,2,1591,662
342,2,1591,662
343,2,1591,662
344,2,1591,663
345,2,1592,663
346,2,1592,664
347,2,1592,664
348,2,1592,664
349,2,1592,663
350,2,1592,663
351,2,1593,662
352,2,1593,662
353,2,1594,662
354,2,1594,661
355,2,1595,661
356,2,1595,660
357,2,1596,660
358,2,1596,660
359,2,1597,659
360,2,1597,658
361,2,1597,658
362,2,1598,657
363,2,1598,657
364,2,1599,656
365,2,1599,656
366,2,1600,655
367,2,1600,654
368,2,1601,654
369,2,1602,653
370,2,1602,652
371,2,1603,652
372,2,1604,651
373,2,1604,651
374,2,1605,651
375,2,1605,651
376,2,1606,650
377,2,1606,650
378,2,1606,650
379,2,1607,650
380,2,1608,650
381,2,1608,650
382,2,1609,650
383,2,1610,650
384,2,1610,649
