epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0872,1.8391,4.83274,0.00171,0.00218,0.21756,0.05139,0.03713,1.09421,5.73429,0.00099,0.000655172,0.000655172,0.000655172
2,53.2676,1.4423,2.46766,0.00114,0.90971,0.85889,0.95301,0.60153,1.32646,3.44725,0.00117,0.00130875,0.00130875,0.00130875
3,75.1222,1.35751,1.88358,0.00104,0.9204,0.92683,0.9758,0.71066,1.02288,1.56485,0.0009,0.00194913,0.00194913,0.00194913
4,96.9178,1.32509,1.51489,0.00103,0.92949,0.92112,0.97339,0.73206,0.92409,1.0104,0.0008,0.0019406,0.0019406,0.0019406
5,118.54,1.24277,1.17547,0.00096,0.93283,0.93645,0.97707,0.6669,1.21777,0.93787,0.00107,0.0019208,0.0019208,0.0019208
6,140.009,1.21938,0.96372,0.00095,0.95245,0.9313,0.98447,0.74847,0.90898,0.56885,0.00079,0.001901,0.001901,0.001901
7,161.702,1.10792,0.77094,0.00085,0.95841,0.95038,0.98776,0.76557,0.83524,0.46267,0.00073,0.0018812,0.0018812,0.0018812
8,183.419,1.11783,0.66315,0.00085,0.98014,0.94179,0.98938,0.74283,0.95014,0.43617,0.00083,0.0018614,0.0018614,0.0018614
9,204.761,1.06838,0.58585,0.00083,0.93915,0.9621,0.9861,0.7636,0.86534,0.41002,0.00075,0.0018416,0.0018416,0.0018416
10,226.15,1.08212,0.54792,0.00082,0.96265,0.95802,0.98821,0.73733,0.93377,0.34212,0.00083,0.0018218,0.0018218,0.0018218
11,247.524,1.1261,0.53583,0.00087,0.96559,0.96819,0.99186,0.72484,1.00217,0.33758,0.00087,0.001802,0.001802,0.001802
12,268.953,1.07055,0.46789,0.00082,0.97812,0.96671,0.99183,0.7541,0.92677,0.31271,0.00081,0.0017822,0.0017822,0.0017822
13,290.287,1.06631,0.45603,0.00082,0.97576,0.97308,0.99271,0.73256,0.98766,0.30393,0.00086,0.0017624,0.0017624,0.0017624
14,311.67,0.98775,0.42083,0.00075,0.94241,0.95762,0.98818,0.75164,0.91989,0.33006,0.0008,0.0017426,0.0017426,0.0017426
15,333.128,1.08552,0.4466,0.00081,0.96357,0.97594,0.99153,0.77659,0.82494,0.30335,0.00072,0.0017228,0.0017228,0.0017228
16,354.819,1.09975,0.42472,0.00084,0.9581,0.96947,0.99146,0.75646,0.90745,0.30912,0.00079,0.001703,0.001703,0.001703
17,376.221,0.99528,0.39338,0.00075,0.97822,0.9716,0.99267,0.75399,0.93911,0.29414,0.00082,0.0016832,0.0016832,0.0016832
18,397.779,0.99123,0.37341,0.00075,0.97422,0.96145,0.99116,0.79543,0.7804,0.27786,0.00067,0.0016634,0.0016634,0.0016634
19,419.544,1.00381,0.37373,0.00074,0.96611,0.98092,0.99261,0.78623,0.80817,0.27265,0.0007,0.0016436,0.0016436,0.0016436
20,441.166,0.93853,0.34955,0.00069,0.97409,0.98219,0.99341,0.79984,0.75524,0.24854,0.00064,0.0016238,0.0016238,0.0016238
21,462.898,0.91968,0.34925,0.00071,0.97555,0.97583,0.99309,0.78314,0.80883,0.27594,0.0007,0.001604,0.001604,0.001604
22,484.389,0.94295,0.34992,0.00072,0.96734,0.98219,0.99318,0.79516,0.77745,0.26776,0.00067,0.0015842,0.0015842,0.0015842
23,505.711,1.0415,0.37518,0.0008,0.9748,0.9542,0.99253,0.7305,0.95654,0.32462,0.00082,0.0015644,0.0015644,0.0015644
24,527.104,0.96156,0.34655,0.00072,0.987,0.96579,0.99303,0.7865,0.77668,0.25379,0.00067,0.0015446,0.0015446,0.0015446
25,548.415,0.94573,0.35043,0.00073,0.97482,0.98473,0.99342,0.81159,0.71922,0.25448,0.00061,0.0015248,0.0015248,0.0015248
26,570.115,0.95815,0.35488,0.00073,0.97862,0.97583,0.9929,0.7919,0.79361,0.24821,0.00068,0.001505,0.001505,0.001505
27,591.422,0.9144,0.31853,0.00068,0.97744,0.97074,0.99318,0.71494,1.06438,0.31857,0.00091,0.0014852,0.0014852,0.0014852
28,612.836,0.86627,0.31226,0.00065,0.98267,0.9771,0.99399,0.8049,0.73352,0.23901,0.00062,0.0014654,0.0014654,0.0014654
29,634.064,0.90914,0.31231,0.00068,0.9917,0.96565,0.99373,0.78366,0.84857,0.26267,0.00074,0.0014456,0.0014456,0.0014456
30,655.438,0.91642,0.31508,0.00071,0.9845,0.96944,0.99378,0.81802,0.69022,0.2239,0.00059,0.0014258,0.0014258,0.0014258
31,677.095,0.89438,0.31788,0.00066,0.98009,0.97328,0.99343,0.81089,0.72354,0.24507,0.00061,0.001406,0.001406,0.001406
32,698.546,0.87932,0.29608,0.00066,0.98099,0.98476,0.99418,0.74529,0.9715,0.2803,0.00084,0.0013862,0.0013862,0.0013862
33,719.853,0.89059,0.30308,0.00066,0.9847,0.98284,0.99431,0.81464,0.71125,0.22281,0.0006,0.0013664,0.0013664,0.0013664
34,741.225,0.85833,0.28724,0.00065,0.98341,0.98058,0.99411,0.82075,0.68135,0.21937,0.00057,0.0013466,0.0013466,0.0013466
35,763.02,0.84934,0.28843,0.00064,0.98965,0.9771,0.99431,0.79744,0.762,0.23988,0.00066,0.0013268,0.0013268,0.0013268
