epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2993,1.82789,4.97104,0.00168,0.00149,0.15621,0.0266,0.01953,1.14321,5.96826,0.001,0.000655172,0.000655172,0.000655172
2,49.6867,1.37884,2.59699,0.00108,0.90036,0.87316,0.94457,0.7234,0.89914,3.22129,0.00079,0.00130875,0.00130875,0.00130875
3,71.5282,1.34947,1.94074,0.00102,0.90588,0.91237,0.96719,0.71117,1.02365,1.50245,0.00095,0.00194913,0.00194913,0.00194913
4,93.0024,1.20545,1.5179,0.00092,0.92256,0.93591,0.97098,0.74584,0.87087,0.99818,0.00078,0.0019406,0.0019406,0.0019406
5,114.536,1.14574,1.20329,0.00088,0.92609,0.9279,0.9736,0.60419,1.41633,0.99684,0.00124,0.0019208,0.0019208,0.0019208
6,136.011,1.21741,1.02209,0.00095,0.90737,0.95594,0.97718,0.72769,0.96821,0.59819,0.00085,0.001901,0.001901,0.001901
7,157.408,1.10058,0.80353,0.00083,0.92785,0.9615,0.98113,0.78256,0.80793,0.44207,0.00069,0.0018812,0.0018812,0.0018812
8,179.168,1.10381,0.71168,0.00083,0.92105,0.95861,0.98163,0.78594,0.79533,0.42753,0.00069,0.0018614,0.0018614,0.0018614
9,200.762,1.04468,0.63662,0.00079,0.94306,0.95327,0.98457,0.65839,1.2357,0.47319,0.00107,0.0018416,0.0018416,0.0018416
10,221.933,1.07109,0.58667,0.00081,0.94863,0.96796,0.98525,0.79556,0.76164,0.34822,0.00066,0.0018218,0.0018218,0.0018218
11,243.566,1.08834,0.55747,0.00082,0.94127,0.96395,0.98508,0.74435,0.93293,0.35202,0.0008,0.001802,0.001802,0.001802
12,265.026,1.07541,0.51919,0.00082,0.92992,0.97063,0.98402,0.77889,0.83314,0.31806,0.00072,0.0017822,0.0017822,0.0017822
13,286.403,1.00111,0.48427,0.00075,0.94705,0.97196,0.98769,0.78539,0.79702,0.29665,0.00068,0.0017624,0.0017624,0.0017624
14,307.845,1.00875,0.49486,0.00076,0.93485,0.97701,0.98282,0.75197,0.89051,0.334,0.00076,0.0017426,0.0017426,0.0017426
15,329.221,1.01315,0.47514,0.00074,0.95286,0.96128,0.98566,0.81154,0.7126,0.28775,0.0006,0.0017228,0.0017228,0.0017228
16,350.991,0.96143,0.43424,0.00072,0.95737,0.96662,0.9881,0.7776,0.83402,0.31359,0.00072,0.001703,0.001703,0.001703
17,372.548,0.9719,0.43665,0.00071,0.93944,0.97344,0.98611,0.7583,0.88501,0.32897,0.00076,0.0016832,0.0016832,0.0016832
18,393.912,0.97565,0.42193,0.00073,0.93555,0.96909,0.98404,0.78565,0.78974,0.2987,0.00067,0.0016634,0.0016634,0.0016634
19,415.131,0.91252,0.39726,0.00066,0.93991,0.98148,0.98628,0.78368,0.79968,0.30089,0.00067,0.0016436,0.0016436,0.0016436
20,436.452,0.91843,0.3741,0.00067,0.93979,0.96262,0.98682,0.81032,0.70712,0.28774,0.00061,0.0016238,0.0016238,0.0016238
21,457.963,0.89077,0.37477,0.00068,0.94894,0.97997,0.98727,0.76728,0.86141,0.28239,0.00074,0.001604,0.001604,0.001604
22,479.381,0.87049,0.35791,0.00066,0.95728,0.97864,0.98932,0.81162,0.70753,0.25329,0.0006,0.0015842,0.0015842,0.0015842
23,501.035,0.87429,0.36058,0.00066,0.96267,0.96404,0.98897,0.80133,0.73406,0.28074,0.00063,0.0015644,0.0015644,0.0015644
24,522.3,0.91232,0.36385,0.00067,0.96021,0.97597,0.98833,0.8085,0.72073,0.27117,0.00061,0.0015446,0.0015446,0.0015446
25,543.821,0.881,0.35229,0.00067,0.95701,0.97463,0.99026,0.79366,0.77992,0.26855,0.00066,0.0015248,0.0015248,0.0015248
26,565.542,0.87804,0.35751,0.00065,0.95483,0.96662,0.98901,0.80491,0.71686,0.27245,0.00061,0.001505,0.001505,0.001505
27,586.981,0.88371,0.34624,0.00065,0.95289,0.97063,0.98909,0.77816,0.80793,0.3013,0.00068,0.0014852,0.0014852,0.0014852
28,608.58,0.87521,0.34529,0.00065,0.95784,0.97463,0.98856,0.79563,0.77771,0.28051,0.00066,0.0014654,0.0014654,0.0014654
29,630.074,0.87293,0.35249,0.00064,0.97338,0.97629,0.99032,0.81847,0.69985,0.24829,0.00059,0.0014456,0.0014456,0.0014456
30,651.608,0.87311,0.34154,0.00067,0.95844,0.9773,0.9909,0.82482,0.67468,0.24889,0.00057,0.0014258,0.0014258,0.0014258
31,673.126,0.85766,0.32834,0.00062,0.95753,0.97196,0.98988,0.81666,0.70792,0.25264,0.0006,0.001406,0.001406,0.001406
32,694.575,0.83183,0.31687,0.00061,0.96788,0.9773,0.99076,0.75505,0.91518,0.29994,0.00078,0.0013862,0.0013862,0.0013862
33,715.985,0.81725,0.31796,0.0006,0.9721,0.97675,0.98991,0.83735,0.62153,0.23846,0.00052,0.0013664,0.0013664,0.0013664
34,737.554,0.78097,0.30544,0.00058,0.97143,0.95333,0.9901,0.82169,0.67975,0.24695,0.00058,0.0013466,0.0013466,0.0013466
35,758.982,0.82018,0.31413,0.00061,0.97346,0.96929,0.99117,0.82931,0.647,0.23357,0.00054,0.0013268,0.0013268,0.0013268
36,780.391,0.83532,0.30949,0.00062,0.96944,0.96529,0.99093,0.79063,0.7925,0.26135,0.00067,0.001307,0.001307,0.001307
